,num_nodes,graph_label
0,19,0
1,39,0
2,21,0
3,24,0
4,10,0
5,16,0
6,10,0
7,18,0
8,26,0
9,20,0
10,13,0
11,22,1
12,20,0
13,42,0
14,12,0
15,12,0
16,12,1
17,23,0
18,29,0
19,37,0
20,14,0
21,9,0
22,18,0
23,14,0
24,41,0
25,15,0
26,23,0
27,16,0
28,18,0
29,9,0
30,6,0
31,13,0
32,33,0
33,12,0
34,11,0
35,14,0
36,11,0
37,10,0
38,29,0
39,8,0
40,4,0
41,16,0
42,19,0
43,26,0
44,9,0
45,9,0
46,18,0
47,20,0
48,16,0
49,16,0
50,18,0
51,9,0
52,9,0
53,10,0
54,13,0
55,6,0
56,13,0
57,12,0
58,9,0
59,16,0
60,12,0
61,8,0
62,13,0
63,16,0
64,10,0
65,10,0
66,14,0
67,16,0
68,10,0
69,16,0
70,41,0
71,13,0
72,14,0
73,38,0
74,12,0
75,28,0
76,14,0
77,32,0
78,10,0
79,15,0
80,12,1
81,14,0
82,14,0
83,18,0
84,16,0
85,16,0
86,12,0
87,28,0
88,39,0
89,7,0
90,7,0
91,7,0
92,15,0
93,6,0
94,11,0
95,16,0
96,6,0
97,26,0
98,14,0
99,10,0
100,22,0
101,8,0
102,23,0
103,44,0
104,21,0
105,66,0
106,6,0
107,25,0
108,17,0
109,13,0
110,21,0
111,14,0
112,21,0
113,17,0
114,17,0
115,12,0
116,26,0
117,9,0
118,14,0
119,14,0
120,16,0
121,19,0
122,14,0
123,12,0
124,11,0
125,12,0
126,10,0
127,20,0
128,14,0
129,10,0
130,18,0
131,11,0
132,12,0
133,16,0
134,22,0
135,31,0
136,7,0
137,19,0
138,21,0
139,24,0
140,24,0
141,22,0
142,24,0
143,22,0
144,27,0
145,26,0
146,22,0
147,26,0
148,25,0
149,4,0
150,90,0
151,34,0
152,3,0
153,17,0
154,18,0
155,20,0
156,18,0
157,16,0
158,19,0
159,28,0
160,30,0
161,27,0
162,18,0
163,11,0
164,6,0
165,9,0
166,19,0
167,18,0
168,16,0
169,21,0
170,6,0
171,8,0
172,14,0
173,20,0
174,26,0
175,18,0
176,33,0
177,43,0
178,46,0
179,44,0
180,45,0
181,19,0
182,13,0
183,15,0
184,21,0
185,21,0
186,12,0
187,12,0
188,13,0
189,18,0
190,17,0
191,34,0
192,27,0
193,9,0
194,19,0
195,16,0
196,18,0
197,16,0
198,22,0
199,11,0
200,12,0
201,16,0
202,13,0
203,21,1
204,25,0
205,21,0
206,13,0
207,14,0
208,17,0
209,21,0
210,19,0
211,33,0
212,15,0
213,7,0
214,12,0
215,21,0
216,22,0
217,22,0
218,14,0
219,16,0
220,35,0
221,30,0
222,51,0
223,15,0
224,22,0
225,28,0
226,22,0
227,10,0
228,22,0
229,12,0
230,9,0
231,23,0
232,26,0
233,23,0
234,22,1
235,40,1
236,59,0
237,21,0
238,13,0
239,17,0
240,20,0
241,28,0
242,8,0
243,12,0
244,7,1
245,6,0
246,12,0
247,16,0
248,29,0
249,31,0
250,6,0
251,9,0
252,13,0
253,13,0
254,31,0
255,27,0
256,11,0
257,10,0
258,16,0
259,20,0
260,7,0
261,8,0
262,12,0
263,20,0
264,19,0
265,9,0
266,12,0
267,13,0
268,10,0
269,22,0
270,34,0
271,48,1
272,13,0
273,24,0
274,17,0
275,43,0
276,36,0
277,20,0
278,48,0
279,48,1
280,31,0
281,13,0
282,13,0
283,22,0
284,31,0
285,29,0
286,11,0
287,11,0
288,16,0
289,36,0
290,8,0
291,14,0
292,22,0
293,30,0
294,31,0
295,20,0
296,34,0
297,21,0
298,41,0
299,10,0
300,22,0
301,26,0
302,37,0
303,24,0
304,19,0
305,10,0
306,27,0
307,19,0
308,20,0
309,20,0
310,21,0
311,24,0
312,17,0
313,13,0
314,12,0
315,20,0
316,25,0
317,23,0
318,12,0
319,16,0
320,13,0
321,18,0
322,17,0
323,22,0
324,37,0
325,14,0
326,36,1
327,29,0
328,13,0
329,12,0
330,8,0
331,32,0
332,11,0
333,25,0
334,16,0
335,13,0
336,17,0
337,11,0
338,23,0
339,23,0
340,28,0
341,28,0
342,7,0
343,6,0
344,15,0
345,24,0
346,9,0
347,18,0
348,19,0
349,31,0
350,27,0
351,33,0
352,48,1
353,46,1
354,9,0
355,12,0
356,22,0
357,27,0
358,21,0
359,19,0
360,17,0
361,18,1
362,28,0
363,31,0
364,38,0
365,39,0
366,49,0
367,56,0
368,11,0
369,15,0
370,30,0
371,16,0
372,8,0
373,10,0
374,25,0
375,10,0
376,17,0
377,28,0
378,38,0
379,22,0
380,21,0
381,22,0
382,31,0
383,34,0
384,29,1
385,31,0
386,29,0
387,35,1
388,39,0
389,27,0
390,49,0
391,35,0
392,9,0
393,12,0
394,11,0
395,11,0
396,16,0
397,15,0
398,8,0
399,11,0
400,12,0
401,16,0
402,16,0
403,19,0
404,10,0
405,11,0
406,27,0
407,12,0
408,9,0
409,13,0
410,28,0
411,21,0
412,22,0
413,22,0
414,30,0
415,34,0
416,19,0
417,11,0
418,17,0
419,19,0
420,22,0
421,6,0
422,13,0
423,10,0
424,22,0
425,27,0
426,31,0
427,33,0
428,29,0
429,33,1
430,33,0
431,22,0
432,43,0
433,32,0
434,52,1
435,21,0
436,29,0
437,18,0
438,13,0
439,12,0
440,17,0
441,27,0
442,27,0
443,60,1
444,51,0
445,10,0
446,20,0
447,33,0
448,26,0
449,23,0
450,15,0
451,31,0
452,37,0
453,21,0
454,38,0
455,11,0
456,37,0
457,9,0
458,29,0
459,14,0
460,13,0
461,17,0
462,16,0
463,19,0
464,11,0
465,14,0
466,21,0
467,23,0
468,44,0
469,9,0
470,15,0
471,14,0
472,14,0
473,20,0
474,29,0
475,25,0
476,22,0
477,30,0
478,29,0
479,53,0
480,8,0
481,16,0
482,8,0
483,11,0
484,20,0
485,23,0
486,15,0
487,20,0
488,19,0
489,17,0
490,29,0
491,31,0
492,16,0
493,12,0
494,19,0
495,33,0
496,33,0
497,35,0
498,58,1
499,58,1
500,16,0
501,32,0
502,18,0
503,30,0
504,20,0
505,15,0
506,20,0
507,18,0
508,12,0
509,14,0
510,18,0
511,23,0
512,25,0
513,42,0
514,44,0
515,50,0
516,50,0
517,58,0
518,74,0
519,43,0
520,9,0
521,18,0
522,11,0
523,24,0
524,23,0
525,25,0
526,41,0
527,21,0
528,16,0
529,19,0
530,11,0
531,38,0
532,27,0
533,13,0
534,21,0
535,20,0
536,28,0
537,31,0
538,11,0
539,21,0
540,23,0
541,23,0
542,28,0
543,33,0
544,14,0
545,12,0
546,30,0
547,19,0
548,9,0
549,16,0
550,31,0
551,16,0
552,16,0
553,2,0
554,31,0
555,22,0
556,11,0
557,21,0
558,29,0
559,14,0
560,16,0
561,33,0
562,27,0
563,33,0
564,16,0
565,16,0
566,17,0
567,28,0
568,23,0
569,34,0
570,9,0
571,61,0
572,18,0
573,36,0
574,14,0
575,23,0
576,16,0
577,17,0
578,16,0
579,28,0
580,23,0
581,25,0
582,11,0
583,18,0
584,17,0
585,24,0
586,17,0
587,30,0
588,15,0
589,12,0
590,17,0
591,18,0
592,35,0
593,40,0
594,8,0
595,26,0
596,27,0
597,28,0
598,6,0
599,16,0
600,17,0
601,20,0
602,30,0
603,35,0
604,21,0
605,33,0
606,12,0
607,34,0
608,34,0
609,23,0
610,22,0
611,20,0
612,40,0
613,19,0
614,11,0
615,26,0
616,14,0
617,20,0
618,20,0
619,14,0
620,12,0
621,16,0
622,24,0
623,16,0
624,15,0
625,23,0
